Date,Link,Username,Password,Comments,,
1/15/18,Amazon.com,me@mydomain.com,Amazon123,Free shipping sort of!,,
2/17/20,Ebay.com,me@mydomain.com,Ebay123,"main, foofighters,billy,prius",,
4/19/19,ESPN.com,KnuteRockne2019,ESPN123,Bring your game,,
3/15/20,Facebook.com,me@mydomain.com,FB123,What are you up to?,,
3/7/18,Google.com,foobar@gmail.com,Google123,Searching searching searching,,
4/9/20,IMDb.com,MovieMad2020,IMDb123,"""I want to be alone"" -- Greta Garbo, Grand Hotel, William Drake",,
6/9/18,imgur,me@mydomain.com,imgur123,pics for everyone,,
5/5/19,Instagram.com,DaffyDill2019,Insta123,Be sure to share pics from airplane window,,
4/27/18,Linkedin.com,me@proMail.com,Linked123,Professionalism is the key to success,,
5/30/19,Live.com,me@outlook.com,Live123,All my Microsoft products,,
7/30/18,Netflix.com,CineMe2018,Netflix123,? and chill,,
6/25/19,Office.com,will.gates@outlook.com,Office123,Can't live without it,,
6/17/18,Paypal.com,myMoney2018,Paypal123,"Before Tesla, before SpaceX",,
6/9/19,Pinterest.com,TerraPin2019,Pinterest123,"What fun, pin everything",,
7/12/18,Reddit.com,ThorHammer2018,Reddit123,This is where I live,,
9/11/19,Twitch.Tv,GamerDude2019,Twitch123,Watch me collect magic coins,,
8/7/18,Twitter.com,SuperTwit2018,Twitter123,Keeping up with the White House,,
7/30/19,Wikipedia.org,guest2019,Wiki123,"Here lies World Book, RIP",,
9/1/18,Yahoo.com,HooBoy2018,Yahoo123,Not sure what's next but Yahoo!,,
11/1/19,YouTube.com,foobar@gmail.com,Youtube123,Seven hours later where did the time go,,
,,,,,,
,,,,,,
